song,artist,album_release_date,release_year,release_decade,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot,cluster
Holding Out for a Hero,Bonnie Tyler,1986-05-05,1986,80,5Hyr47BBGpvOfcykSCcaw9,0.616,0.685,9,-15.289,0,0.04,0.0245,1.13e-05,0.0491,0.895,150.055,audio_features,spotify:track:5Hyr47BBGpvOfcykSCcaw9,https://api.spotify.com/v1/tracks/5Hyr47BBGpvOfcykSCcaw9,https://api.spotify.com/v1/audio-analysis/5Hyr47BBGpvOfcykSCcaw9,348333,4,No,4
I Wanna Go,Britney Spears,2011-03-28,2011,10,5cCAZS9VhLGEDV4NCfieeg,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,audio_features,spotify:track:5cCAZS9VhLGEDV4NCfieeg,https://api.spotify.com/v1/tracks/5cCAZS9VhLGEDV4NCfieeg,https://api.spotify.com/v1/audio-analysis/5cCAZS9VhLGEDV4NCfieeg,210267,4,No,5
Woman Up,Meghan Trainor,2017-05-12,2017,10,0QHEIqNKsMoOY5urbzN48u,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,audio_features,spotify:track:0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/tracks/0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/audio-analysis/0QHEIqNKsMoOY5urbzN48u,134256,4,No,5
Music,Madonna,2000-09-19,2000,00,2BcOZ4vOeu2qZowIHrvTYy,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,audio_features,spotify:track:2BcOZ4vOeu2qZowIHrvTYy,https://api.spotify.com/v1/tracks/2BcOZ4vOeu2qZowIHrvTYy,https://api.spotify.com/v1/audio-analysis/2BcOZ4vOeu2qZowIHrvTYy,225973,4,No,5
Finally,CeCe Peniston,1992-01-01,1992,90,0uqvSVhGgQTIdj9G51vhvv,0.791,0.658,7,-11.128,1,0.0445,0.00653,0.0,0.0472,0.842,120.066,audio_features,spotify:track:0uqvSVhGgQTIdj9G51vhvv,https://api.spotify.com/v1/tracks/0uqvSVhGgQTIdj9G51vhvv,https://api.spotify.com/v1/audio-analysis/0uqvSVhGgQTIdj9G51vhvv,245000,4,No,4
Baby I'm Burnin',Dolly Parton,1978,1978,70,2Asiem9O0YGuvvoAkz8aSq,0.745,0.828,0,-9.576,1,0.046,0.0482,0.438,0.0967,0.971,133.942,audio_features,spotify:track:2Asiem9O0YGuvvoAkz8aSq,https://api.spotify.com/v1/tracks/2Asiem9O0YGuvvoAkz8aSq,https://api.spotify.com/v1/audio-analysis/2Asiem9O0YGuvvoAkz8aSq,156960,4,No,7
Greedy,Ariana Grande,2016-05-20,2016,10,2GDpvJZ1lBBrN6iYdfAcXN,0.806,0.851,7,-6.1,1,0.107,0.0358,0.0,0.676,0.96,150.053,audio_features,spotify:track:2GDpvJZ1lBBrN6iYdfAcXN,https://api.spotify.com/v1/tracks/2GDpvJZ1lBBrN6iYdfAcXN,https://api.spotify.com/v1/audio-analysis/2GDpvJZ1lBBrN6iYdfAcXN,137691,4,No,1
Ain't No Other Man,Christina Aguilera,2006-08-14,2006,00,7huo2wvrCgRucUsjdSDLQV,0.862,0.742,7,-4.722,1,0.222,0.00376,0.00855,0.103,0.511,127.91,audio_features,spotify:track:7huo2wvrCgRucUsjdSDLQV,https://api.spotify.com/v1/tracks/7huo2wvrCgRucUsjdSDLQV,https://api.spotify.com/v1/audio-analysis/7huo2wvrCgRucUsjdSDLQV,228907,4,No,2
Good as Hell,Lizzo,2019-04-17,2019,10,6KgBpzTuTRPebChN0VTyzV,0.682,0.919,0,-3.18,0,0.0875,0.256,0.0,0.442,0.535,95.982,audio_features,spotify:track:6KgBpzTuTRPebChN0VTyzV,https://api.spotify.com/v1/tracks/6KgBpzTuTRPebChN0VTyzV,https://api.spotify.com/v1/audio-analysis/6KgBpzTuTRPebChN0VTyzV,159736,4,No,1
Nasty Girl,Vanity 6,2011-05-10,2011,10,4GIsskMpViPkt0uzPJTJSp,0.833,0.628,2,-7.041,1,0.141,0.0949,1.6e-06,0.282,0.645,106.328,audio_features,spotify:track:4GIsskMpViPkt0uzPJTJSp,https://api.spotify.com/v1/tracks/4GIsskMpViPkt0uzPJTJSp,https://api.spotify.com/v1/audio-analysis/4GIsskMpViPkt0uzPJTJSp,286187,4,No,5
If,Janet Jackson,1993-05-18,1993,90,29rQJydAlO0uMyWvRIZxQg,0.703,0.7,5,-6.789,1,0.0693,0.302,0.471,0.0718,0.582,97.675,audio_features,spotify:track:29rQJydAlO0uMyWvRIZxQg,https://api.spotify.com/v1/tracks/29rQJydAlO0uMyWvRIZxQg,https://api.spotify.com/v1/audio-analysis/29rQJydAlO0uMyWvRIZxQg,265107,4,No,7
Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",2014-10-14,2014,10,0puf9yIluy9W0vpMEUoAnN,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028,audio_features,spotify:track:0puf9yIluy9W0vpMEUoAnN,https://api.spotify.com/v1/tracks/0puf9yIluy9W0vpMEUoAnN,https://api.spotify.com/v1/audio-analysis/0puf9yIluy9W0vpMEUoAnN,199387,4,No,1
Nasty,Janet Jackson,1986-02-04,1986,80,07OzC5JlcaDwEkzWmvqp6y,0.839,0.89,1,-11.697,0,0.0628,0.452,0.0224,0.0866,0.575,103.652,audio_features,spotify:track:07OzC5JlcaDwEkzWmvqp6y,https://api.spotify.com/v1/tracks/07OzC5JlcaDwEkzWmvqp6y,https://api.spotify.com/v1/audio-analysis/07OzC5JlcaDwEkzWmvqp6y,243133,4,No,4
Best of My Love,The Emotions,1977-06-10,1977,70,2M2WJ7gBlcKNxdhyfPp9zY,0.784,0.713,0,-6.865,1,0.0339,0.447,0.14,0.0904,0.97,115.443,audio_features,spotify:track:2M2WJ7gBlcKNxdhyfPp9zY,https://api.spotify.com/v1/tracks/2M2WJ7gBlcKNxdhyfPp9zY,https://api.spotify.com/v1/audio-analysis/2M2WJ7gBlcKNxdhyfPp9zY,220560,4,No,4
Celebrity Skin,Hole,1998-01-01,1998,90,2V4Bc2I962j7acQj1N0PiQ,0.438,0.905,9,-6.161,1,0.0419,9.44e-06,5.4e-05,0.363,0.723,134.163,audio_features,spotify:track:2V4Bc2I962j7acQj1N0PiQ,https://api.spotify.com/v1/tracks/2V4Bc2I962j7acQj1N0PiQ,https://api.spotify.com/v1/audio-analysis/2V4Bc2I962j7acQj1N0PiQ,162667,4,No,10
Pound the Alarm,Nicki Minaj,2011-01-01,2011,10,0LohatbcUXRauoeMlR1jnS,0.728,0.858,9,-3.686,1,0.0609,0.0403,4.26e-06,0.0241,0.591,125.054,audio_features,spotify:track:0LohatbcUXRauoeMlR1jnS,https://api.spotify.com/v1/tracks/0LohatbcUXRauoeMlR1jnS,https://api.spotify.com/v1/audio-analysis/0LohatbcUXRauoeMlR1jnS,205640,4,No,5
Man! I Feel Like a Woman!,Shania Twain,1997-11-04,1997,90,0T1iRhYeTh5JpVdM2TI6kO,0.779,0.727,10,-2.946,0,0.23,0.0211,2.78e-06,0.291,0.668,101.251,audio_features,spotify:track:0T1iRhYeTh5JpVdM2TI6kO,https://api.spotify.com/v1/tracks/0T1iRhYeTh5JpVdM2TI6kO,https://api.spotify.com/v1/audio-analysis/0T1iRhYeTh5JpVdM2TI6kO,176000,1,No,10
I'm Coming Out,Diana Ross,1980-05-22,1980,80,3SnGymj6ijE2iuUfWxLo1q,0.72,0.828,5,-9.211,1,0.0462,0.185,0.429,0.0839,0.768,110.071,audio_features,spotify:track:3SnGymj6ijE2iuUfWxLo1q,https://api.spotify.com/v1/tracks/3SnGymj6ijE2iuUfWxLo1q,https://api.spotify.com/v1/audio-analysis/3SnGymj6ijE2iuUfWxLo1q,323347,4,No,7
Cut to the Feeling,Carly Rae Jepsen,2017-05-26,2017,10,6EJiVf7U0p1BBfs0qqeb1f,0.71,0.909,2,-2.777,1,0.0639,0.0135,0.00123,0.303,0.648,115.001,audio_features,spotify:track:6EJiVf7U0p1BBfs0qqeb1f,https://api.spotify.com/v1/tracks/6EJiVf7U0p1BBfs0qqeb1f,https://api.spotify.com/v1/audio-analysis/6EJiVf7U0p1BBfs0qqeb1f,207960,4,No,5
Groove Is in the Heart,Deee-Lite,1990,1990,90,2He3NOyqtLNE3RQPpeDdSb,0.694,0.881,1,-4.053,0,0.0701,0.0153,0.0196,0.0851,0.924,121.554,audio_features,spotify:track:2He3NOyqtLNE3RQPpeDdSb,https://api.spotify.com/v1/tracks/2He3NOyqtLNE3RQPpeDdSb,https://api.spotify.com/v1/audio-analysis/2He3NOyqtLNE3RQPpeDdSb,231787,4,No,10
New Attitude,Patti LaBelle,1996-01-01,1996,90,71DxDMPiElIeGgvJvtITXR,0.81,0.722,11,-7.101,0,0.0429,0.0877,0.000885,0.529,0.963,138.011,audio_features,spotify:track:71DxDMPiElIeGgvJvtITXR,https://api.spotify.com/v1/tracks/71DxDMPiElIeGgvJvtITXR,https://api.spotify.com/v1/audio-analysis/71DxDMPiElIeGgvJvtITXR,251160,4,No,10
The Best of Both Worlds,Hannah Montana,2006-01-01,2006,00,6Z0F3Mqj7tq1CBZo5qMlUg,0.676,0.861,1,-3.645,1,0.0501,0.0512,0.0,0.0613,0.681,124.031,audio_features,spotify:track:6Z0F3Mqj7tq1CBZo5qMlUg,https://api.spotify.com/v1/tracks/6Z0F3Mqj7tq1CBZo5qMlUg,https://api.spotify.com/v1/audio-analysis/6Z0F3Mqj7tq1CBZo5qMlUg,174120,3,No,5
No More Drama,Mary J. Blige,2001-01-01,2001,00,7nWsh14AHpnTzq1Xejz90U,0.653,0.837,6,-6.818,0,0.124,0.534,7.12e-05,0.0784,0.64,97.914,audio_features,spotify:track:7nWsh14AHpnTzq1Xejz90U,https://api.spotify.com/v1/tracks/7nWsh14AHpnTzq1Xejz90U,https://api.spotify.com/v1/audio-analysis/7nWsh14AHpnTzq1Xejz90U,326240,4,No,5
No Scrubs,TLC,1999-02-23,1999,90,1KGi9sZVMeszgZOWivFpxs,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,audio_features,spotify:track:1KGi9sZVMeszgZOWivFpxs,https://api.spotify.com/v1/tracks/1KGi9sZVMeszgZOWivFpxs,https://api.spotify.com/v1/audio-analysis/1KGi9sZVMeszgZOWivFpxs,214400,4,No,10
Pride (A Deeper Love),Aretha Franklin,2006,2006,00,5AoTuHE5P5bvC7BBppYnja,0.744,0.611,0,-6.386,1,0.0333,0.0723,0.000532,0.0692,0.961,114.991,audio_features,spotify:track:5AoTuHE5P5bvC7BBppYnja,https://api.spotify.com/v1/tracks/5AoTuHE5P5bvC7BBppYnja,https://api.spotify.com/v1/audio-analysis/5AoTuHE5P5bvC7BBppYnja,142187,4,No,5
SOS,Rihanna,2006-04-10,2006,00,30cSNer6TV8x2utjULVeQ5,0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,audio_features,spotify:track:30cSNer6TV8x2utjULVeQ5,https://api.spotify.com/v1/tracks/30cSNer6TV8x2utjULVeQ5,https://api.spotify.com/v1/audio-analysis/30cSNer6TV8x2utjULVeQ5,238920,4,No,1
Bootylicious,Destiny's Child,2001-05-01,2001,00,41nT1Sp6ChR65FbsdLlFHW,0.84,0.835,1,-4.386,0,0.275,0.00281,1.11e-06,0.152,0.637,103.376,audio_features,spotify:track:41nT1Sp6ChR65FbsdLlFHW,https://api.spotify.com/v1/tracks/41nT1Sp6ChR65FbsdLlFHW,https://api.spotify.com/v1/audio-analysis/41nT1Sp6ChR65FbsdLlFHW,207907,4,No,2
The Edge of Glory,Lady Gaga,2011-01-01,2011,10,0JNdS1n0ifOP25XvhwAMgM,0.581,0.772,9,-6.544,1,0.0401,0.000343,0.0191,0.11,0.361,127.952,audio_features,spotify:track:0JNdS1n0ifOP25XvhwAMgM,https://api.spotify.com/v1/tracks/0JNdS1n0ifOP25XvhwAMgM,https://api.spotify.com/v1/audio-analysis/0JNdS1n0ifOP25XvhwAMgM,320587,4,No,9
Work Bitch,Britney Spears,2013-11-30,2013,10,3KliPMvk1EvFZu9cvkj8p1,0.629,0.824,9,-6.53,1,0.159,0.155,0.000628,0.0651,0.852,128.01,audio_features,spotify:track:3KliPMvk1EvFZu9cvkj8p1,https://api.spotify.com/v1/tracks/3KliPMvk1EvFZu9cvkj8p1,https://api.spotify.com/v1/audio-analysis/3KliPMvk1EvFZu9cvkj8p1,247960,4,No,5
Living in America,James Brown,1985,1985,80,0T1OrvV6bOQVL2vSQiDn6W,0.714,0.907,0,-4.687,1,0.0412,0.00121,0.000346,0.216,0.788,114.122,audio_features,spotify:track:0T1OrvV6bOQVL2vSQiDn6W,https://api.spotify.com/v1/tracks/0T1OrvV6bOQVL2vSQiDn6W,https://api.spotify.com/v1/audio-analysis/0T1OrvV6bOQVL2vSQiDn6W,248533,4,No,10
I'm Your Baby Tonight,Whitney Houston,1990-11-04,1990,90,3SmPl0CGxvvkQCrTv7edEE,0.665,0.899,6,-7.75,1,0.0877,0.303,2.21e-06,0.445,0.873,165.16,audio_features,spotify:track:3SmPl0CGxvvkQCrTv7edEE,https://api.spotify.com/v1/tracks/3SmPl0CGxvvkQCrTv7edEE,https://api.spotify.com/v1/audio-analysis/3SmPl0CGxvvkQCrTv7edEE,299427,3,No,10
Last Dance,Donna Summer,1980-09-08,1980,80,29RcVe2M9l8rHyWHffBmjf,0.341,0.721,3,-10.311,1,0.0801,0.131,0.00029,0.216,0.237,126.351,audio_features,spotify:track:29RcVe2M9l8rHyWHffBmjf,https://api.spotify.com/v1/tracks/29RcVe2M9l8rHyWHffBmjf,https://api.spotify.com/v1/audio-analysis/29RcVe2M9l8rHyWHffBmjf,199800,4,No,0
Strut,Sheena Easton,1984,1984,80,6gFIFMI3tsrM5QojcvVMfZ,0.91,0.751,1,-11.29,1,0.039,0.295,0.00214,0.141,0.975,114.659,audio_features,spotify:track:6gFIFMI3tsrM5QojcvVMfZ,https://api.spotify.com/v1/tracks/6gFIFMI3tsrM5QojcvVMfZ,https://api.spotify.com/v1/audio-analysis/6gFIFMI3tsrM5QojcvVMfZ,240960,4,No,4
Sorry Not Sorry,Demi Lovato,2017-09-29,2017,10,0yvPEnB032fojLfVluFjUv,0.706,0.643,11,-6.929,0,0.234,0.0242,0.0,0.262,0.885,143.931,audio_features,spotify:track:0yvPEnB032fojLfVluFjUv,https://api.spotify.com/v1/tracks/0yvPEnB032fojLfVluFjUv,https://api.spotify.com/v1/audio-analysis/0yvPEnB032fojLfVluFjUv,203760,4,No,2
Hood Boy,Fantasia,2006-12-09,2006,00,1QncxlVV6UqA10Dh7pCcj9,0.735,0.613,1,-10.443,1,0.333,0.0137,0.0,0.298,0.57,165.997,audio_features,spotify:track:1QncxlVV6UqA10Dh7pCcj9,https://api.spotify.com/v1/tracks/1QncxlVV6UqA10Dh7pCcj9,https://api.spotify.com/v1/audio-analysis/1QncxlVV6UqA10Dh7pCcj9,133068,4,No,2
Starships,Nicki Minaj,2011-01-01,2011,10,1oHNvJVbFkexQc0BpQp7Y4,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,audio_features,spotify:track:1oHNvJVbFkexQc0BpQp7Y4,https://api.spotify.com/v1/tracks/1oHNvJVbFkexQc0BpQp7Y4,https://api.spotify.com/v1/audio-analysis/1oHNvJVbFkexQc0BpQp7Y4,210627,4,No,5
Kill the Lights,"Alex Newell, DJ Cassidy ft. Nile Rodgers",2016-04-15,2016,10,4iCKHGl4ij4YMwFrUZLGEQ,0.647,0.879,7,-0.93,1,0.0831,0.0837,1.98e-06,0.538,0.427,126.042,audio_features,spotify:track:4iCKHGl4ij4YMwFrUZLGEQ,https://api.spotify.com/v1/tracks/4iCKHGl4ij4YMwFrUZLGEQ,https://api.spotify.com/v1/audio-analysis/4iCKHGl4ij4YMwFrUZLGEQ,224762,4,No,1
1999,Prince,1982-10-27,1982,80,2QSUyofqpGDCo026OPiTBQ,0.864,0.826,10,-5.496,1,0.0814,0.23,2.36e-06,0.0663,0.596,118.955,audio_features,spotify:track:2QSUyofqpGDCo026OPiTBQ,https://api.spotify.com/v1/tracks/2QSUyofqpGDCo026OPiTBQ,https://api.spotify.com/v1/audio-analysis/2QSUyofqpGDCo026OPiTBQ,373747,4,No,4
On the Floor,Jennifer Lopez ft. Pitbull,2011-01-01,2011,10,3C0nOe05EIt1390bVABLyN,0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.0691,0.575,130.0,audio_features,spotify:track:3C0nOe05EIt1390bVABLyN,https://api.spotify.com/v1/tracks/3C0nOe05EIt1390bVABLyN,https://api.spotify.com/v1/audio-analysis/3C0nOe05EIt1390bVABLyN,284867,4,No,5
I'm Like a Bird,Nelly Furtado,2000,2000,00,2aGw77pZqli064JiPuXYRi,0.623,0.607,10,-5.113,1,0.0353,0.147,3.29e-06,0.227,0.614,89.654,audio_features,spotify:track:2aGw77pZqli064JiPuXYRi,https://api.spotify.com/v1/tracks/2aGw77pZqli064JiPuXYRi,https://api.spotify.com/v1/audio-analysis/2aGw77pZqli064JiPuXYRi,243160,4,No,9
Bring Back My Girls,RuPaul,2020-01-10,2020,20,7IM8lvafzONUM3aV6NZogU,0.913,0.729,6,-7.964,0,0.0515,0.0108,0.000725,0.0764,0.492,120.009,audio_features,spotify:track:7IM8lvafzONUM3aV6NZogU,https://api.spotify.com/v1/tracks/7IM8lvafzONUM3aV6NZogU,https://api.spotify.com/v1/audio-analysis/7IM8lvafzONUM3aV6NZogU,163893,4,No,5
Survivor,Destiny's Child,2001-05-01,2001,00,2Mpj1Ul5OFPyyP4wB62Rvi,0.514,0.911,1,-2.027,0,0.41,0.0559,0.0,0.775,0.619,161.109,audio_features,spotify:track:2Mpj1Ul5OFPyyP4wB62Rvi,https://api.spotify.com/v1/tracks/2Mpj1Ul5OFPyyP4wB62Rvi,https://api.spotify.com/v1/audio-analysis/2Mpj1Ul5OFPyyP4wB62Rvi,254027,4,No,1
Take On Me,A-ha,1985-06-01,1985,80,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4,No,10
Get Up,Ciara ft. Chamillionaire,2006,2006,00,3rKCDtV8UcF0RytSiXxypc,0.964,0.595,1,-6.887,0,0.109,0.0248,5.14e-06,0.0405,0.629,128.593,audio_features,spotify:track:3rKCDtV8UcF0RytSiXxypc,https://api.spotify.com/v1/tracks/3rKCDtV8UcF0RytSiXxypc,https://api.spotify.com/v1/audio-analysis/3rKCDtV8UcF0RytSiXxypc,261880,4,No,5
Call Your Girlfriend,Robyn,2010-01-01,2010,10,2sCoROOlNQyFpRQEe6A5lv,0.599,0.887,8,-2.377,1,0.11,0.00101,0.0545,0.0716,0.461,125.097,audio_features,spotify:track:2sCoROOlNQyFpRQEe6A5lv,https://api.spotify.com/v1/tracks/2sCoROOlNQyFpRQEe6A5lv,https://api.spotify.com/v1/audio-analysis/2sCoROOlNQyFpRQEe6A5lv,227347,4,No,9
Problem,Ariana Grande ft. Iggy Azalea,2014-08-25,2014,10,7vS3Y0IKjde7Xg85LWIEdP,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.008,audio_features,spotify:track:7vS3Y0IKjde7Xg85LWIEdP,https://api.spotify.com/v1/tracks/7vS3Y0IKjde7Xg85LWIEdP,https://api.spotify.com/v1/audio-analysis/7vS3Y0IKjde7Xg85LWIEdP,193920,4,No,5
S&M,Rihanna,2010-01-01,2010,10,0AXrJcr6WVVzRAZ1WfM74b,0.75,0.786,6,-1.636,1,0.069,0.197,0.247,0.0658,0.764,127.907,audio_features,spotify:track:0AXrJcr6WVVzRAZ1WfM74b,https://api.spotify.com/v1/tracks/0AXrJcr6WVVzRAZ1WfM74b,https://api.spotify.com/v1/audio-analysis/0AXrJcr6WVVzRAZ1WfM74b,243750,4,No,5
Heart to Break,Kim Petras,2018-02-14,2018,10,1jFN0stMzLepoPxvPywGZj,0.737,0.602,11,-5.292,1,0.204,0.0393,2.74e-06,0.236,0.88,109.039,audio_features,spotify:track:1jFN0stMzLepoPxvPywGZj,https://api.spotify.com/v1/tracks/1jFN0stMzLepoPxvPywGZj,https://api.spotify.com/v1/audio-analysis/1jFN0stMzLepoPxvPywGZj,225973,4,No,2
Let It Go,Caissie Levy,2018-05-11,2018,10,2RqZFOLOnzVmHUX7ZMcaES,0.806,0.721,10,-5.167,0,0.215,0.197,0.0,0.209,0.781,94.967,audio_features,spotify:track:2RqZFOLOnzVmHUX7ZMcaES,https://api.spotify.com/v1/tracks/2RqZFOLOnzVmHUX7ZMcaES,https://api.spotify.com/v1/audio-analysis/2RqZFOLOnzVmHUX7ZMcaES,238333,4,No,2
Burning Up,Madonna,1983-07-27,1983,80,2VEsmoek0sol9MnJFyoG9e,0.667,0.954,2,-3.462,1,0.0817,0.0296,0.0,0.331,0.807,114.03,audio_features,spotify:track:2VEsmoek0sol9MnJFyoG9e,https://api.spotify.com/v1/tracks/2VEsmoek0sol9MnJFyoG9e,https://api.spotify.com/v1/audio-analysis/2VEsmoek0sol9MnJFyoG9e,175093,4,No,10
This Is My Night,Chaka Khan,1984,1984,80,1EZmeztCbpOM1vqDlGyJLQ,0.736,0.893,4,-11.104,0,0.0718,0.0136,0.0327,0.048,0.693,108.893,audio_features,spotify:track:1EZmeztCbpOM1vqDlGyJLQ,https://api.spotify.com/v1/tracks/1EZmeztCbpOM1vqDlGyJLQ,https://api.spotify.com/v1/audio-analysis/1EZmeztCbpOM1vqDlGyJLQ,280627,4,No,4
Firework,Katy Perry,2010-01-01,2010,10,4r6eNCsrZnQWJzzvFh4nlg,0.638,0.832,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071,audio_features,spotify:track:4r6eNCsrZnQWJzzvFh4nlg,https://api.spotify.com/v1/tracks/4r6eNCsrZnQWJzzvFh4nlg,https://api.spotify.com/v1/audio-analysis/4r6eNCsrZnQWJzzvFh4nlg,227893,4,No,5
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa, P!nk",2001-01-01,2001,00,0PSZ9G584Ve27GK6ThlY6P,0.754,0.811,5,-3.679,1,0.0561,0.0185,5.18e-06,0.654,0.639,109.902,audio_features,spotify:track:0PSZ9G584Ve27GK6ThlY6P,https://api.spotify.com/v1/tracks/0PSZ9G584Ve27GK6ThlY6P,https://api.spotify.com/v1/audio-analysis/0PSZ9G584Ve27GK6ThlY6P,267960,4,No,1
Rumors,Lindsay Lohan,2004-01-01,2004,00,3KnjerEPMolLapVo2wdgz6,0.892,0.764,10,-5.668,0,0.0547,0.0186,0.0358,0.332,0.856,115.014,audio_features,spotify:track:3KnjerEPMolLapVo2wdgz6,https://api.spotify.com/v1/tracks/3KnjerEPMolLapVo2wdgz6,https://api.spotify.com/v1/audio-analysis/3KnjerEPMolLapVo2wdgz6,196307,4,No,5
Call Me Maybe,Carly Rae Jepsen,2012-01-01,2012,10,3TGRqZ0a2l1LRblBkJoaDx,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,audio_features,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/tracks/3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/audio-analysis/3TGRqZ0a2l1LRblBkJoaDx,193400,4,No,5
Ex's & Oh's,Elle King,2015-02-13,2015,10,6DE1vkPkMn2I77360IBb8t,0.537,0.851,4,-4.591,1,0.0443,0.0329,0.00105,0.131,0.155,129.022,audio_features,spotify:track:6DE1vkPkMn2I77360IBb8t,https://api.spotify.com/v1/tracks/6DE1vkPkMn2I77360IBb8t,https://api.spotify.com/v1/audio-analysis/6DE1vkPkMn2I77360IBb8t,194427,4,No,9
The Pleasure Principle,Janet Jackson,1986-02-04,1986,80,1krKp0OXeCH6SI5SXl8tu5,0.661,0.711,0,-11.037,1,0.0514,0.428,0.0221,0.132,0.889,116.836,audio_features,spotify:track:1krKp0OXeCH6SI5SXl8tu5,https://api.spotify.com/v1/tracks/1krKp0OXeCH6SI5SXl8tu5,https://api.spotify.com/v1/audio-analysis/1krKp0OXeCH6SI5SXl8tu5,297973,4,No,4
My Humps,Black Eyed Peas,2005-01-01,2005,00,19JdbdEwQI7bCxefMokZO8,0.801,0.682,1,-5.919,0,0.225,0.111,1.56e-05,0.109,0.586,123.95,audio_features,spotify:track:19JdbdEwQI7bCxefMokZO8,https://api.spotify.com/v1/tracks/19JdbdEwQI7bCxefMokZO8,https://api.spotify.com/v1/audio-analysis/19JdbdEwQI7bCxefMokZO8,326960,4,No,2
No Tears Left to Cry,Ariana Grande,2018-08-17,2018,10,2qT1uLXPVPzGgFOx4jtEuo,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,audio_features,spotify:track:2qT1uLXPVPzGgFOx4jtEuo,https://api.spotify.com/v1/tracks/2qT1uLXPVPzGgFOx4jtEuo,https://api.spotify.com/v1/audio-analysis/2qT1uLXPVPzGgFOx4jtEuo,205920,4,No,9
Strong Enough,Cher,1998,1998,90,144JMbvbR5txNzoZ112wo4,0.593,0.923,0,-6.19,1,0.101,0.0495,0.0,0.29,0.587,124.862,audio_features,spotify:track:144JMbvbR5txNzoZ112wo4,https://api.spotify.com/v1/tracks/144JMbvbR5txNzoZ112wo4,https://api.spotify.com/v1/audio-analysis/144JMbvbR5txNzoZ112wo4,224000,4,No,10
I Learned from the Best (HQ2 Radio Mix),Whitney Houston,2006-05-02,2006,00,3wACjmQo7ZkRNMLfZXndFB,0.609,0.563,5,-6.284,0,0.0328,0.0109,7.76e-06,0.156,0.306,148.949,audio_features,spotify:track:3wACjmQo7ZkRNMLfZXndFB,https://api.spotify.com/v1/tracks/3wACjmQo7ZkRNMLfZXndFB,https://api.spotify.com/v1/audio-analysis/3wACjmQo7ZkRNMLfZXndFB,259533,4,No,9
How You Like That,BLACKPINK,2020-10-02,2020,20,6wfugRLamFsTRbPcCpNnP7,0.765,0.656,5,-6.112,1,0.0504,0.00364,0.00868,0.0918,0.545,119.997,audio_features,spotify:track:6wfugRLamFsTRbPcCpNnP7,https://api.spotify.com/v1/tracks/6wfugRLamFsTRbPcCpNnP7,https://api.spotify.com/v1/audio-analysis/6wfugRLamFsTRbPcCpNnP7,247533,4,No,9
Be My Lover,La Bouche,1996-01-16,1996,90,2aQpISWUBToaF84DDiTeRV,0.589,0.973,8,-5.317,1,0.0426,0.0347,0.000945,0.45,0.115,126.003,audio_features,spotify:track:2aQpISWUBToaF84DDiTeRV,https://api.spotify.com/v1/tracks/2aQpISWUBToaF84DDiTeRV,https://api.spotify.com/v1/audio-analysis/2aQpISWUBToaF84DDiTeRV,169524,4,No,10
Hideaway,Kiesza,2014-10-21,2014,10,0c6xIDDpzE81m2q797ordA,0.838,0.72,7,-4.135,0,0.0483,0.0862,0.00697,0.0772,0.204,122.99,audio_features,spotify:track:0c6xIDDpzE81m2q797ordA,https://api.spotify.com/v1/tracks/0c6xIDDpzE81m2q797ordA,https://api.spotify.com/v1/audio-analysis/0c6xIDDpzE81m2q797ordA,251987,4,No,9
